ParticipantID,AI1,AI2,AI3,AI4,AI5,TC1,TC2,TC3,TC4,TC5,PC1,PC2,PC3,PC4,PC5,PS1,PS2,PS3,PS4,PS5,PS6,AI_Mean,TC_Mean,PC_Mean,PS_Mean
1,3,3,3,3,4,3,3,4,4,3,3,2,3,3,3,4,4,4,4,4,4,3.2,3.4,2.8,4.0
2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,4,3,4,4,4,4,3.0,2.8,2.4,3.8333333333333335
3,4,4,4,4,3,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3.8,3.8,3.0,4.0
4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4.0,4.2,3.4,3.0
5,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3.8,4.0,4.2,4.0
6,4,4,4,4,5,4,4,4,4,5,4,3,3,3,3,4,3,3,3,4,4,4.2,4.2,3.2,3.5
7,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,2,2,3,3,2,3,3.2,3.0,3.8,2.5
8,4,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4.4,4.4,4.0,4.166666666666667
9,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3.8,4.0,3.0,4.0
10,3,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,3.6,3.2,3.2,3.5
11,3,3,2,3,3,2,2,2,2,2,3,4,3,3,4,4,4,4,3,3,4,2.8,2.0,3.4,3.6666666666666665
12,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,3,3,3,3,4.0,4.2,4.0,3.1666666666666665
13,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,4,4.0,3.2,3.0,3.5
14,4,3,3,3,3,3,4,4,3,4,5,4,4,4,4,3,3,3,4,4,4,3.2,3.6,4.2,3.5
15,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,5,4,4.0,4.0,3.2,4.166666666666667
16,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4.0,3.4,3.8,4.0
17,3,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,4,3,3,3.0,3.4,3.4,3.1666666666666665
18,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3.4,3.0,3.0,4.0
19,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3.8,4.0,3.0,4.0
20,3,3,3,2,2,3,3,3,3,3,3,3,4,3,3,2,3,2,2,2,3,2.6,3.0,3.2,2.3333333333333335
21,5,4,4,4,4,5,5,5,5,5,2,2,3,3,3,4,3,3,4,3,3,4.2,5.0,2.6,3.3333333333333335
22,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3.0,3.4,4.0,4.0
23,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4.0,3.8,3.0,4.0
24,4,4,4,4,4,3,3,3,3,3,2,2,2,2,3,4,4,4,4,4,5,4.0,3.0,2.2,4.166666666666667
25,4,5,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4.2,4.0,3.2,4.0
26,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3.2,3.0,3.0,4.0
27,3,3,3,4,4,3,3,3,4,4,3,3,3,3,4,5,4,4,4,4,4,3.4,3.4,3.2,4.166666666666667
28,4,5,4,4,5,4,4,4,4,4,3,3,3,4,3,3,4,3,4,4,3,4.4,4.0,3.2,3.5
29,5,5,5,4,5,4,4,4,5,5,3,3,3,3,3,3,3,3,3,4,4,4.8,4.4,3.0,3.3333333333333335
30,4,4,3,3,4,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,3.6,3.6,3.8,3.1666666666666665
31,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3.6,3.0,3.0,3.8333333333333335
32,4,4,4,4,3,4,4,3,3,3,2,2,2,2,2,5,5,5,4,4,5,3.8,3.4,2.0,4.666666666666667
33,4,4,5,4,4,4,5,4,5,4,2,2,3,3,2,5,4,4,5,4,5,4.2,4.4,2.4,4.5
34,4,4,4,3,4,5,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3.8,4.2,2.8,3.0
35,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,3,3,3,3,3,4.0,4.0,3.4,2.8333333333333335
36,4,4,4,4,3,4,3,4,4,3,3,3,2,2,2,4,4,3,3,3,3,3.8,3.6,2.4,3.3333333333333335
37,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,3,3,4,3.0,3.0,2.4,3.3333333333333335
38,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4.0,3.0,3.0,3.3333333333333335
39,3,4,3,4,4,4,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3.6,3.6,3.0,4.0
40,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4.0,4.0,4.2,3.8333333333333335
41,5,5,4,5,4,4,4,5,4,4,3,3,3,3,3,5,5,5,5,5,5,4.6,4.2,3.0,5.0
42,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3.0,3.0,4.0,3.0
43,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3.0,2.4,3.0,3.0
44,5,4,5,5,5,4,4,4,4,4,3,3,2,3,3,4,4,4,4,4,4,4.8,4.0,2.8,4.0
45,4,4,3,3,4,2,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3.6,2.6,3.2,3.0
46,4,5,4,4,4,4,5,5,5,4,3,3,4,3,3,4,5,5,5,5,5,4.2,4.6,3.2,4.833333333333333
47,3,3,3,3,3,3,3,3,2,3,5,5,5,5,5,3,3,3,4,3,3,3.0,2.8,5.0,3.1666666666666665
48,4,4,4,4,4,4,5,5,4,4,2,2,1,2,2,4,5,4,5,4,4,4.0,4.4,1.8,4.333333333333333
49,4,4,4,5,4,3,4,4,4,4,3,3,3,3,3,5,5,5,5,5,5,4.2,3.8,3.0,5.0
50,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4.0,3.8,4.0,3.1666666666666665
51,4,4,4,5,4,3,3,3,3,3,2,2,2,2,3,5,5,5,5,5,5,4.2,3.0,2.2,5.0
52,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4.0,4.2,3.0,4.333333333333333
53,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4.0,3.6,4.0,3.0
54,4,5,4,5,5,4,4,4,4,4,2,2,2,2,2,4,4,4,5,4,5,4.6,4.0,2.0,4.333333333333333
55,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,2,3,3,2,3,2,2.2,2.4,3.0,2.5
56,4,4,4,4,5,4,4,5,4,4,4,3,4,3,4,4,4,3,4,4,4,4.2,4.2,3.6,3.8333333333333335
57,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,4,3,4,4,4,4,4.0,3.4,3.0,3.8333333333333335
58,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3.8,3.0,3.0,4.0
59,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,5,5,4,4,4,4,4.2,5.0,3.0,4.333333333333333
60,4,4,3,4,3,4,4,4,4,3,3,3,3,3,3,5,5,5,4,5,4,3.6,3.8,3.0,4.666666666666667
61,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,3.2,3.0,4.0,4.166666666666667
62,3,3,4,3,3,3,3,3,3,4,4,3,4,4,4,5,5,5,5,4,5,3.2,3.2,3.8,4.833333333333333
63,4,4,4,4,4,3,3,3,3,3,3,2,3,3,3,4,4,4,4,4,4,4.0,3.0,2.8,4.0
64,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,4,4,4,4,4,4,3.0,3.0,4.8,4.0
65,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,3,4.4,4.0,4.0,2.8333333333333335
66,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4.4,4.0,3.4,3.8333333333333335
67,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,3,4,3,3,3,4.0,3.6,3.2,3.3333333333333335
68,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3.0,3.0,4.0,3.8333333333333335
69,5,5,5,5,5,4,4,5,5,5,2,3,3,3,3,4,4,4,4,5,4,5.0,4.6,2.8,4.166666666666667
70,4,5,5,4,5,4,5,4,4,4,3,3,2,3,2,4,4,5,4,4,4,4.6,4.2,2.6,4.166666666666667
71,3,3,3,4,3,3,3,3,3,3,2,3,2,2,3,5,4,5,5,5,5,3.2,3.0,2.4,4.833333333333333
72,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4.0,4.0,3.0,4.166666666666667
73,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3.8,3.0,4.0,3.8333333333333335
74,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4.0,4.0,3.0,4.0
75,4,4,3,4,3,3,4,3,3,3,2,2,3,2,3,4,4,4,4,4,5,3.6,3.2,2.4,4.166666666666667
76,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,3.8,4.0,5.0,4.0
77,4,5,5,5,4,4,4,3,4,4,3,3,3,2,3,4,3,4,4,4,4,4.6,3.8,2.8,3.8333333333333335
78,4,4,4,4,3,5,4,4,4,4,3,3,4,3,3,5,5,5,5,5,5,3.8,4.2,3.2,5.0
79,5,4,5,5,4,4,4,3,4,3,2,2,3,3,3,4,5,4,5,5,5,4.6,3.6,2.6,4.666666666666667
80,4,4,4,4,4,3,4,3,4,4,2,3,3,3,2,4,4,4,4,4,4,4.0,3.6,2.6,4.0
81,5,5,5,5,5,4,3,3,4,4,3,3,3,3,3,4,5,5,4,4,4,5.0,3.6,3.0,4.333333333333333
82,5,5,5,5,5,4,5,5,4,5,4,4,4,4,4,4,3,4,4,3,3,5.0,4.6,4.0,3.5
83,4,4,5,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4.2,5.0,4.0,4.833333333333333
84,4,4,4,5,5,5,4,4,4,4,3,3,2,3,3,5,5,5,5,5,5,4.4,4.2,2.8,5.0
85,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,2.8,2.4,3.0,4.0
86,4,3,4,4,4,3,3,3,3,3,3,4,4,4,3,4,3,4,3,4,4,3.8,3.0,3.6,3.6666666666666665
87,4,4,4,4,4,4,3,4,4,3,2,2,2,3,2,5,4,4,4,4,5,4.0,3.6,2.2,4.333333333333333
88,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,5,4,4,4,4.0,3.8,3.2,4.166666666666667
89,4,4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,4,5,5,4,4,4.0,3.2,3.8,4.333333333333333
90,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4.0,3.4,3.0,3.8333333333333335
91,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4.2,4.0,3.4,4.0
92,3,3,3,3,2,2,3,3,2,3,5,4,4,4,5,3,4,3,3,3,3,2.8,2.6,4.4,3.1666666666666665
93,4,3,4,3,4,5,4,4,4,4,2,2,2,2,2,3,3,2,3,2,3,3.6,4.2,2.0,2.6666666666666665
94,4,4,4,4,4,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4.0,3.2,3.6,4.0
95,3,3,4,3,4,2,3,3,3,3,4,3,4,4,4,1,1,1,1,1,1,3.4,2.8,3.8,1.0
96,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4.0,3.6,3.0,3.0
97,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5,4.0,3.8,3.0,4.166666666666667
98,4,4,4,4,5,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,4.2,3.0,4.0,3.6666666666666665
99,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4.0,3.8,3.0,3.1666666666666665
100,4,3,3,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,3.6,4.0,2.0,4.0
101,2,2,3,3,3,3,2,3,2,3,2,3,3,2,3,4,4,5,5,4,4,2.6,2.6,2.6,4.333333333333333
102,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,3,4,3,4.0,3.6,3.0,3.3333333333333335
103,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.2,4.0,4.0,5.0
104,3,3,3,3,3,2,3,2,3,3,4,5,4,4,4,3,3,3,4,3,4,3.0,2.6,4.2,3.3333333333333335
105,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,4,2.6,3.0,3.8,3.5
106,4,4,4,5,4,4,4,4,4,4,3,3,4,3,3,5,5,5,5,5,5,4.2,4.0,3.2,5.0
107,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3.2,3.0,3.0,4.0
108,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3.8,4.0,4.0,3.5
109,3,3,3,3,3,2,2,2,3,2,4,4,4,4,4,3,3,2,3,3,3,3.0,2.2,4.0,2.8333333333333335
