RespondentID,AI_Item1,AI_Item2,AI_Item3,AI_Item4,AI_Item5,AI_Score,TeamCollaboration_Item1,TeamCollaboration_Item2,TeamCollaboration_Item3,TeamCollaboration_Item4,TeamCollaboration_Item5,TeamCollaboration_Score,ProjectComplexity_Item1,ProjectComplexity_Item2,ProjectComplexity_Item3,ProjectComplexity_Item4,ProjectComplexity_Item5,ProjectComplexity_Score,ProjectSuccess_Item1,ProjectSuccess_Item2,ProjectSuccess_Item3,ProjectSuccess_Item4,ProjectSuccess_Item5,ProjectSuccess_Item6,ProjectSuccess_Score
1,4,4,4,5,3,4.0,3,4,2,4,3,3.2,4,3,4,3,3,3.4,3,4,3,3,3,4,3.3333333333333335
2,5,5,4,5,5,4.8,5,5,5,5,5,5.0,3,5,3,2,3,3.2,3,5,4,4,5,4,4.166666666666667
3,4,4,4,4,5,4.2,4,4,4,3,4,3.8,3,4,4,4,3,3.6,3,3,4,3,3,3,3.1666666666666665
4,4,4,4,4,3,3.8,4,4,4,3,2,3.4,3,2,2,2,2,2.2,5,4,4,4,4,5,4.333333333333333
5,4,3,4,4,4,3.8,3,4,4,4,3,3.6,4,4,4,4,4,4.0,3,3,4,3,3,3,3.1666666666666665
6,5,4,4,4,4,4.2,4,3,4,5,4,4.0,2,4,3,4,3,3.2,3,3,4,4,2,3,3.1666666666666665
7,4,4,5,5,4,4.4,4,4,3,4,3,3.6,2,2,3,3,4,2.8,4,4,4,4,4,4,4.0
8,4,3,4,4,4,3.8,3,4,3,4,3,3.4,2,2,2,2,2,2.0,3,2,5,3,3,2,3.0
9,4,5,4,5,4,4.4,4,5,4,4,4,4.2,2,3,3,3,3,2.8,4,3,3,4,4,4,3.6666666666666665
10,4,4,2,4,2,3.2,4,3,3,4,4,3.6,5,3,4,5,4,4.2,3,5,3,5,5,4,4.166666666666667
11,2,3,3,2,3,2.6,2,3,3,2,2,2.4,3,4,3,4,4,3.6,4,4,4,4,4,3,3.8333333333333335
12,5,3,5,4,4,4.2,4,4,3,4,4,3.8,3,3,3,4,2,3.0,4,4,3,3,4,3,3.5
13,4,3,3,3,3,3.2,4,3,3,3,3,3.2,3,3,4,3,4,3.4,2,4,4,3,3,4,3.3333333333333335
14,4,4,4,5,5,4.4,4,5,4,5,4,4.4,3,2,4,5,4,3.6,4,4,4,5,5,4,4.333333333333333
15,3,3,4,4,3,3.4,4,4,3,2,4,3.4,4,3,2,1,3,2.6,5,5,5,5,4,4,4.666666666666667
