AI1,AI2,AI3,AI4,AI5,TC1,TC2,TC3,TC4,TC5,PC1,PC2,PC3,PC4,PC5,PS1,PS2,PS3,PS4,PS5,PS6,AI,TC,PC,PS,AI_c,PC_c,AIxPC
3.7587101620,4.3048416582,4.1347727177,3.2089458426,2.8977562542,4.2577485615,3.8449063085,3.8858868356,3.1447020307,4.7176301697,2.5931840917,1.1359151414,1.4601692589,2.8354333314,2.1349782465,4.3536138328,4.3254352459,4.7822493674,5.3589589331,4.5124234913,4.6399846584,3.6610053270,3.9701747812,2.0319360140,4.6621109215,-0.1289946730,-1.1580639860,0.1493840852
3.2003796864,3.9791726836,4.3544709591,4.3292118072,4.3845199348,3.9181078338,4.6269770867,4.6957355150,5.3127356159,4.2816302528,3.2047938288,4.7753029347,3.3056507734,5.4305863073,3.5798130576,4.2432113404,5.1634825370,5.0303207770,4.1299599527,3.0924006766,3.1210827569,4.0495510142,4.5670372608,4.0592293804,4.1300763401,0.2595510142,0.8692293804,0.2256093673
3.4407134326,3.7830559728,2.3086876551,2.6230219179,2.6243722465,2.5180166430,3.5624299408,3.2918892529,2.6944492707,3.1173407793,5.8345584293,5.0387244987,4.0252407398,5.1901092507,4.9167327083,3.0363165313,1.6920899093,3.1894109337,2.5601885050,3.2319982114,3.0712557510,2.9559702450,3.0368251773,5.0010731254,2.7968766403,-0.8340297550,1.8110731254,-1.5104888751
4.1202444055,4.7806035286,3.8447948982,3.9846250050,3.4325915438,3.1099061793,3.4009841845,3.5624864458,3.6774235597,3.4675611164,2.3349000591,3.6770044512,2.7619186268,3.0672663785,1.9234520589,4.2979839555,3.4553048502,4.5635325843,3.2326857886,3.4386558493,3.7787359547,4.0325718762,3.4436722971,2.7529083149,3.7944831638,0.2425718762,-0.4370916851,-0.1060261501
3.1107225464,3.2880527412,4.6039831780,3.6521301563,3.5553490222,2.9875012207,3.4178964750,3.2548427773,2.9110611636,2.3629215549,2.4705441247,2.1653727168,2.9358368296,3.1559668278,2.7036913380,6.1577192514,4.6352584005,4.6443831691,7.2035225700,3.8556577453,4.0852288887,3.6420475288,2.9868446383,2.6862823674,5.0969616708,-0.1479524712,-0.5037176326,0.0745262685
4.2168983831,3.9051859653,4.4784650373,3.8508133571,4.0193870729,3.8347790978,4.3934183117,3.5588294419,4.3997190860,3.7656099232,2.9437808220,3.6333689018,2.7267491226,3.7642531924,3.5872284736,4.1965658207,3.9867649902,4.8911039698,3.9451714559,4.4460648752,4.4768519407,4.0941499631,3.9904711721,3.3310761025,4.3237538421,0.3041499631,0.1410761025,0.0429082914
3.2613948266,2.6174771349,2.7301621339,3.3307007650,3.0399856127,2.7808599906,2.6065815094,3.2827776718,2.4374339387,4.2261143062,2.9415666852,2.9919411816,2.8796358570,3.7252551399,2.5096771504,3.4432068017,3.1735614847,4.2005520550,3.7453889739,3.3309401982,3.8223325409,2.9959440946,3.0667534833,3.0096152028,3.6193303424,-0.7940559054,-0.1803847972,0.1432356135
3.1558405658,3.4788046697,4.9518213565,3.3809468399,3.0302327797,4.1579711676,3.2770431874,3.8079342512,3.2136971809,3.8365308715,2.0512595295,1.7750425181,1.9120905963,3.0754230670,2.2004769869,4.5925914252,3.5234466170,5.0454929412,4.8898252361,4.0622059273,4.2155408522,3.5995292423,3.6586353317,2.2028585396,4.3881838332,-0.1904707577,-0.9871414604,0.1880215819
4.7233044963,5.4455670157,4.3718858923,4.3415702484,4.2301612512,4.7542744862,5.9660736052,5.7576308334,5.3968096409,4.8772451898,4.2110340094,2.0753331101,2.6832239173,3.5577335295,2.7488072347,4.5898813528,4.9865045032,5.0193005481,5.7091083184,4.9659590555,4.5323231999,4.6224977808,5.3504067511,3.0552263602,4.9671794963,0.8324977808,-0.1347736398,-0.1121987561
3.4153977986,4.1108826174,4.8005560152,4.4114900130,4.2304136823,4.2268659115,3.9896465480,5.3399542303,4.3947249589,4.2941109208,3.0490818551,2.2436190768,3.0132743884,4.0722319876,2.9051912596,4.8709427594,4.4668696335,4.4110670672,5.4155529393,5.4081609488,5.1435742965,4.1937480253,4.4490605139,3.0566797135,4.9526946074,0.4037480253,-0.1333202865,-0.0538278024
4.2917853418,5.0704711592,4.6256172091,3.7146541055,4.9245770557,4.3011967097,4.3004827826,4.1756818621,4.7656416601,5.4456211229,3.2448917604,0.2235910246,3.9120849506,4.4296170151,3.8796700191,3.6902988384,3.1427443292,2.9281330267,3.5905325124,3.6769858882,3.4374016512,4.5254209743,4.5977248275,3.1379709540,3.4110160410,0.7354209743,-0.0520290460,-0.0382632517
4.5127982611,3.6038037930,3.6631956563,5.1810291345,4.5541895103,3.0372243994,3.3281763998,3.4642308474,4.6867963873,4.4852131488,2.8792525533,4.5742729793,2.9253620988,3.1158316884,2.7056339652,2.9672586000,3.6353562455,4.2617170099,2.7727778866,3.5184426586,3.9037183339,4.3030032710,3.8003282365,3.2400706570,3.5098784557,0.5130032710,0.0500706570,0.0256864108
5.5352767630,5.5651849796,5.1798862635,4.7624596496,5.0663782402,4.9766660509,4.5592437716,4.1547627291,5.4850779622,4.2083609375,1.8503455242,2.2808474716,2.5337869956,2.3946280869,3.5917570704,4.4676809526,4.0778507223,3.5720172267,3.0647431498,3.6002038743,4.3894544364,5.2218371792,4.6768222903,2.5302730297,3.8619917270,1.4318371792,-0.6597269703,-0.9446216041
3.7817450624,3.0817326359,3.0179133917,3.0508155730,3.4647859616,3.5017081493,3.6594421057,3.2478510826,4.2578430859,3.6926178182,2.7538468146,2.6905544683,3.5322942033,2.9722717433,2.9727793355,2.7131459203,3.9211741672,4.7076149506,4.1812307197,4.3016647827,4.2990960982,3.2793985249,3.6718924483,2.9843493130,4.0206544398,-0.5106014751,-0.2056506870,0.1050055441
2.9227940740,4.1981745936,3.7766527895,2.8380542008,4.2541016286,2.8639699241,4.3167587365,3.0896422866,3.1330113024,3.9935157409,1.5745817299,2.1100948946,2.6613214583,2.9364617735,2.6795612647,4.0642226590,4.9618380290,4.4779117262,4.6877769198,4.0601995163,4.9211364697,3.5979554573,3.4793795981,2.3924042242,4.5288475533,-0.1920445427,-0.7975957758,0.1531739160
3.7372002239,3.3737806532,5.0770563770,4.2777861806,4.3602834168,4.9349878384,4.4444702057,4.1485296390,4.1752249741,4.1826180029,2.9167402545,2.6565012172,2.3762772562,1.9100658281,2.5962761873,3.7740362464,4.2263353965,4.5337422852,4.1618115498,4.7923777914,4.1218633470,4.1652213703,4.3771661320,2.4911721487,4.2683611027,0.3752213703,-0.6988278513,-0.2622151440
4.4292689399,4.7595038516,5.4312853319,4.4062637029,3.7054374106,4.1129341626,3.1062141813,4.8045148412,2.9204206286,4.0151909970,3.7917230722,3.0902290640,3.2798872625,3.1587339124,2.9595555588,3.7444186117,2.8497790232,3.0468651550,3.7048596880,3.5363712100,3.9952556960,4.5463518474,3.7918549621,3.2560257740,3.4795915640,0.7563518474,0.0660257740,0.0499387161
2.9068919447,2.3750172503,2.2407320958,3.1980732982,3.3128805750,2.5999674876,2.1828780647,1.4193597018,2.7012558773,2.6042605571,5.3412152223,4.7369822117,4.2169184559,3.2162219865,4.5024593722,3.3802573001,3.8972621116,3.4401310155,3.5789076566,3.4404149034,3.3320304811,2.8067190328,2.3015443377,4.4027594497,3.5115005781,-0.9832809672,1.2127594497,-1.1924832847
