ParticipantID,AI1,AI2,AI3,AI4,AI5,TC1,TC2,TC3,TC4,TC5,PC1,PC2,PC3,PC4,PC5,PS1,PS2,PS3,PS4,PS5,PS6,AI_Mean,TC_Mean,PC_Mean,PS_Mean
1,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3.6,3.0,3.0,3.1666666666666665
2,5,5,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,4,3,3,4.4,4.0,2.8,3.1666666666666665
3,4,4,3,4,4,4,4,4,4,5,2,3,3,3,3,4,4,4,4,5,5,3.8,4.2,2.8,4.333333333333333
4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,5,4,3.0,3.0,2.2,4.166666666666667
5,4,4,4,4,4,4,5,4,4,5,2,3,3,3,2,4,5,5,5,5,5,4.0,4.4,2.6,4.833333333333333
6,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3.0,3.0,3.6,3.0
7,4,4,4,4,4,3,4,3,4,3,2,2,3,4,3,4,5,5,5,5,5,4.0,3.4,2.8,4.833333333333333
8,4,5,4,4,4,4,4,4,4,4,3,3,2,3,3,5,4,4,4,4,5,4.2,4.0,2.8,4.333333333333333
9,4,3,4,3,3,4,4,4,4,3,3,3,3,3,2,3,3,4,3,4,4,3.4,3.8,2.8,3.5
10,3,3,3,3,4,4,3,3,3,3,2,2,2,3,2,4,5,4,4,4,4,3.2,3.2,2.2,4.166666666666667
11,3,3,4,3,4,3,3,4,4,3,3,4,3,4,3,4,4,4,4,4,3,3.4,3.4,3.4,3.8333333333333335
12,4,5,5,5,5,5,4,4,5,5,2,2,2,2,2,5,4,5,5,5,4,4.8,4.6,2.0,4.666666666666667
13,3,4,4,3,3,4,3,3,3,4,2,2,3,3,3,3,4,3,4,3,4,3.4,3.4,2.6,3.5
14,4,5,5,5,4,4,5,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4.6,4.2,3.2,3.8333333333333335
15,5,5,4,5,4,5,4,4,5,4,2,3,2,3,3,4,4,4,4,5,4,4.6,4.4,2.6,4.166666666666667
16,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5,3.8,4.0,3.0,4.166666666666667
17,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4.0,3.6,3.8,3.3333333333333335
18,5,4,4,4,4,3,3,2,3,3,3,2,4,3,3,4,3,3,4,4,3,4.2,2.8,3.0,3.5
19,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,5,5,5,5,3.8,3.6,4.0,5.0
20,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3.6,4.0,3.0,3.8333333333333335
21,3,4,4,4,4,4,4,4,4,4,3,2,3,2,4,3,3,4,3,4,3,3.8,4.0,2.8,3.3333333333333335
22,5,4,4,4,4,4,4,4,4,4,2,2,2,3,2,4,4,4,4,4,4,4.2,4.0,2.2,4.0
23,4,5,4,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,5,4.2,3.8,3.0,4.166666666666667
24,3,4,4,4,4,4,4,5,5,4,3,2,3,3,2,4,4,5,4,4,4,3.8,4.4,2.6,4.166666666666667
25,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,3.8,3.8,3.0,3.5
26,5,4,4,4,5,5,4,4,4,5,2,2,3,3,2,4,4,5,5,5,5,4.4,4.4,2.4,4.666666666666667
27,5,5,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,4,4.4,4.0,3.4,3.1666666666666665
28,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,4,4,5,4,4,4,3.4,3.0,3.6,4.166666666666667
29,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4.2,4.0,4.4,4.0
30,4,4,5,3,4,4,3,3,3,4,2,2,2,2,2,4,3,4,3,4,3,4.0,3.4,2.0,3.5
31,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,3,3,3,3.0,3.0,2.8,3.0
32,4,4,3,4,4,4,3,4,3,4,4,4,5,4,4,4,4,5,4,4,4,3.8,3.6,4.2,4.166666666666667
33,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,5,5,4,5,4,4,4.0,3.0,2.8,4.5
34,5,5,5,5,5,5,4,4,4,4,3,3,2,3,3,5,5,5,5,4,5,5.0,4.2,2.8,4.833333333333333
35,4,4,4,4,4,4,4,4,3,4,2,2,2,3,3,3,4,4,3,4,3,4.0,3.8,2.4,3.5
36,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,5,5,4,4,4.0,3.4,4.0,4.333333333333333
37,3,3,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3.4,4.0,3.4,4.0
38,4,4,4,4,3,3,4,3,3,4,3,4,4,3,3,4,4,4,4,4,3,3.8,3.4,3.4,3.8333333333333335
39,4,4,4,4,4,4,4,5,4,4,4,3,3,3,3,4,4,4,4,4,4,4.0,4.2,3.2,4.0
40,2,3,3,3,2,2,3,2,2,2,5,4,5,5,4,4,4,3,4,3,3,2.6,2.2,4.6,3.5
41,5,5,4,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,4.8,5.0,3.0,4.0
42,4,4,4,4,4,3,2,3,4,2,3,3,4,3,3,3,3,3,4,3,3,4.0,2.8,3.2,3.1666666666666665
43,4,4,3,3,4,3,4,4,4,4,2,3,3,3,2,4,4,4,4,4,4,3.6,3.8,2.6,4.0
44,4,4,4,4,5,4,4,4,4,4,2,3,4,3,3,4,3,3,4,3,4,4.2,4.0,3.0,3.5
45,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4.4,3.8,4.0,4.166666666666667
46,4,4,4,3,4,3,4,3,2,3,3,3,3,3,4,4,4,3,4,4,4,3.8,3.0,3.2,3.8333333333333335
47,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4.0,3.8,3.2,3.8333333333333335
48,4,4,4,4,4,4,4,3,4,4,2,2,2,2,1,5,4,5,4,5,5,4.0,3.8,1.8,4.666666666666667
49,4,4,4,4,4,3,3,3,3,3,3,2,3,2,2,3,4,3,4,4,3,4.0,3.0,2.4,3.5
50,4,4,5,4,4,5,5,4,4,4,2,2,2,2,3,4,4,4,4,4,4,4.2,4.4,2.2,4.0
51,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4.2,3.8,4.0,3.3333333333333335
52,4,5,5,5,5,4,4,4,4,4,2,2,1,1,2,4,4,5,4,4,5,4.8,4.0,1.6,4.333333333333333
53,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,4,4,3,3,4,3,4.0,4.4,5.0,3.5
54,4,3,3,3,3,3,3,3,3,3,4,5,4,4,4,3,3,4,4,3,4,3.2,3.0,4.2,3.5
55,4,4,4,4,4,5,4,5,4,4,3,3,3,3,3,4,4,5,4,4,4,4.0,4.4,3.0,4.166666666666667
56,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,3,2,3,2,2.0,2.0,2.8,2.5
57,4,4,5,4,4,5,4,5,5,4,4,3,4,3,3,4,4,4,4,4,4,4.2,4.6,3.4,4.0
58,4,5,4,4,4,4,4,5,4,4,4,4,2,3,3,4,4,5,5,4,4,4.2,4.2,3.2,4.333333333333333
59,4,4,4,4,4,4,4,3,4,4,3,3,3,3,2,3,3,3,3,4,3,4.0,3.8,2.8,3.1666666666666665
60,5,5,5,5,5,5,5,4,5,5,3,3,2,3,3,5,5,5,5,5,5,5.0,4.8,2.8,5.0
61,5,5,4,4,5,4,4,3,4,4,2,2,2,3,2,5,4,4,4,4,4,4.6,3.8,2.2,4.166666666666667
62,4,4,5,4,4,5,5,5,4,4,2,2,3,2,2,5,5,5,4,5,5,4.2,4.6,2.2,4.833333333333333
63,3,2,3,3,3,3,2,2,2,3,4,4,4,4,4,4,3,4,3,4,4,2.8,2.4,4.0,3.6666666666666665
64,3,2,3,3,2,2,3,2,3,3,5,4,5,5,4,3,3,3,3,3,3,2.6,2.6,4.6,3.0
65,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3.2,2.8,3.0,3.0
66,4,3,3,4,4,4,5,4,4,4,3,3,3,3,3,5,5,5,5,5,5,3.6,4.2,3.0,5.0
67,4,5,4,4,4,4,4,4,5,4,3,2,2,3,3,3,3,4,3,3,3,4.2,4.2,2.6,3.1666666666666665
68,4,4,4,4,4,5,5,5,5,4,3,4,3,3,3,3,3,3,3,4,3,4.0,4.8,3.2,3.1666666666666665
69,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3.0,3.0,3.8,3.8333333333333335
70,4,4,3,4,3,4,4,3,3,3,3,3,3,2,3,3,3,4,4,4,3,3.6,3.4,2.8,3.5
71,3,4,3,4,4,5,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3.6,4.2,3.2,3.3333333333333335
72,2,3,2,2,3,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2.4,1.8,3.0,3.0
73,3,4,3,3,4,4,3,4,4,3,3,2,3,3,3,4,4,4,4,4,4,3.4,3.6,2.8,4.0
